station,cc_month,rmse_month,mae_month,bias_month,cc_daily,rmse_daily,mae_daily,bias_daily
51053.pkl,0.8352511488336049,0.27448253014731716,0.18791600533428054,20.712306149216023,0.6781652884538123,1.534143138140661,0.5629731035593494,inf
51059.pkl,0.9808862348769833,0.09315685459895902,0.04380910187582634,1.7054662405018068,0.7286925439346542,1.3858090141543098,0.4585373711340206,inf
51060.pkl,0.5117009447885303,0.3990562394338598,0.2546026913917217,inf,0.47006723707210507,1.6123796722362917,0.5498083427282977,inf
51068.pkl,0.7236970176187428,0.3511954218257197,0.18015168555371722,inf,0.5840904749220742,1.3095776380001578,0.44961829602190373,inf
51076.pkl,0.9605142669914942,0.1364785830645987,0.04974498690837106,-1.021538278309259,0.7736132508404209,1.4061061189613824,0.4364019971009825,inf
51087.pkl,0.8352400409917413,0.3580681860408898,0.2381044910363107,73.60052354802541,0.6760922786831918,1.7555754498885112,0.6183475599935577,inf
51133.pkl,0.4379752668715333,1.056441065440049,0.17875197698656767,12.700761440927971,0.4275289331261562,4.15041398195575,0.6608761475277822,inf
51156.pkl,0.8505434694821475,0.2872044982778847,0.1800092828009958,inf,0.6027454088635179,1.5082634039623193,0.4444741504267998,inf
51186.pkl,0.9592777119889391,0.15806057479388733,0.08975064107956865,inf,0.7209178467978467,1.5723825616252212,0.42698131443298964,inf
51238.pkl,0.55032190630337,0.515888656903617,0.3629352867954746,inf,0.35510737254585634,2.4532983703956313,0.8714962151715252,inf
51241.pkl,0.9937857150312726,0.07972699462075059,0.04619531090152041,1.3167932625695715,0.8092010367706273,1.5584337029138706,0.49834111773232403,inf
51243.pkl,0.7799697017768906,0.4236354400399836,0.2261243143901981,inf,0.5585258737156906,1.708793190100093,0.5131100016105653,inf
51288.pkl,0.9175707467285958,0.2099657619643569,0.08284364591220247,inf,0.6987701215755117,1.6588847988251612,0.4304993556701031,inf
51330.pkl,0.8804665957956055,0.4554606225116741,0.2315724513387112,149.72571401431566,0.7310684081701098,1.8626579708832338,0.6930090206185565,inf
51334.pkl,0.8471669530377536,0.21266277665275907,0.10295065426986516,inf,0.6097001730163415,1.292154180239864,0.3899468513448221,inf
51346.pkl,0.9808644391874926,0.08926317657827305,0.04171164038474121,inf,0.7116762526133193,1.5873050046651562,0.4643911082474227,inf
51358.pkl,0.6323850481088158,0.41148714589735447,0.2736061457953593,inf,0.4891932998734361,2.1979027755623637,0.7362081185567009,inf
51365.pkl,0.9322452625624437,0.11820408779607772,0.06858688822210382,9.585997803100872,0.5080875567047528,1.5758482415551223,0.4170425257731959,inf
51367.pkl,0.6144996245532819,0.4339445059809353,0.25613858301941467,inf,0.42644616392491447,2.1020394885144182,0.6892285392172652,inf
51379.pkl,0.9757334730126306,0.09922338127304849,0.05379918396724651,inf,0.6067908143602295,1.9231189430381486,0.5104961340206186,inf
51431.pkl,0.9186251373376695,0.2877565957657696,0.09212463583876265,-4.253641462029232,0.7035032290998109,2.1917823032747696,0.7046520618556701,inf
51433.pkl,0.5771327302076171,0.8165073465511163,0.5518610324367047,-14.643060597040137,0.4023894387154521,3.349191633889507,1.2928833762886598,inf
51437.pkl,0.9972162836869476,0.08797792074473115,0.034288340920350324,1.1305979446315333,0.6684559818308886,2.8654134882705646,1.022673969072165,inf
51463.pkl,0.9071366358225486,0.3010773118255356,0.16878848944101185,inf,0.5836953765536775,2.738131535212235,0.748936855670103,inf
51467.pkl,0.9980318081295598,0.058436706598474115,0.034468210606452436,inf,0.6517858729519823,2.3587959562883056,0.5449387886597938,inf
51469.pkl,0.7089168923246509,0.860389410210925,0.5857806097967553,28.788231891796094,0.45473608183177694,3.6118658350994406,1.395886616202287,inf
51470.pkl,0.580307497499924,1.482784028249887,0.9366073121499248,-10.02533695190172,0.34589793668887364,5.666124460652772,1.8543501368980513,inf
51477.pkl,0.912366621102203,0.15324439053547004,0.09208116783977219,inf,0.5282468101531831,1.2503396864913938,0.2682879690771461,inf
51495.pkl,0.8382831580858614,0.19330465540121455,0.14067923639607866,inf,0.5424617852294434,0.7029184375849784,0.18216494845360826,inf
51526.pkl,0.9402712363080742,0.08499366828255742,0.05871466636339371,inf,0.6328184334648094,0.7841456456693242,0.18132710581414077,inf
51542.pkl,0.9635422117845946,0.2613788773530262,0.1605888015940525,91.73930802822142,0.7293051267924624,1.8245634525987822,0.6667418263810598,inf
51567.pkl,0.9847207323627376,0.053308151054760666,0.023637958817193914,inf,0.6771811065460316,1.0462134286324785,0.20252214527299084,inf
51573.pkl,0.7491658578140413,0.1095779945896147,0.0786327387833146,inf,0.3534521078139359,0.5105972489666185,0.11793847640521822,inf
51581.pkl,0.48811685702071117,0.20044735885645543,0.15347781511566436,inf,0.22801145345645168,0.8042449795388231,0.23924935567010314,inf
51628.pkl,0.9411136534043291,0.1650042857664808,0.08544896757368128,inf,0.6685274121378164,1.1903815954257264,0.2904235786761153,inf
51633.pkl,0.9865265968507136,0.10392020324342317,0.07395981970838018,inf,0.8036749278741017,1.0979227985835271,0.3234697164948454,inf
51639.pkl,0.6888298018077503,0.22094611854792157,0.1498364335723166,inf,0.3448249965149712,1.1554377659516226,0.29250765018521496,inf
51642.pkl,0.953719436395857,0.11046870871899576,0.05804536605150032,inf,0.7045247033154092,0.9565870051666018,0.2020199742268041,inf
51644.pkl,0.9862730401052829,0.05485918668506688,0.025363683218930875,inf,0.6096907560663497,1.0785643378713368,0.20343427835051547,inf
51655.pkl,0.51970312753397,0.27364336144089113,0.13186314963508577,inf,0.2621575039476495,1.2907424140321118,0.24011597938144333,inf
51656.pkl,0.9870617435955213,0.05382896949339974,0.01870185256156597,inf,0.8447055892325017,0.7976312572131885,0.13330004831695927,inf
51701.pkl,0.9575333956621371,0.24861527045295917,0.11826092847224169,inf,0.721477049132473,1.7270706420344593,0.6181539948453608,inf
51704.pkl,0.6609677057119507,0.3388143194471594,0.21131770932325472,inf,0.40513549307527547,1.7906751719023513,0.4935319697213722,inf
51705.pkl,0.9873682538767042,0.12358025126607274,0.08755828449288502,inf,0.6727730764348335,1.9477394341145904,0.5648252536640361,inf
51709.pkl,0.942498243280658,0.11294786646006882,0.07128903159335666,inf,0.6099382607010315,1.1559319931333483,0.28121436624255114,inf
51711.pkl,0.9983626293998358,0.059721903970907125,0.031318276402144095,inf,0.7984582263984653,1.9496004414862291,0.5594394329896907,inf
51716.pkl,0.9882988397756818,0.05527770727496841,0.030938248899856566,inf,0.7283032551544317,0.9506130347058037,0.18724548969072166,inf
51720.pkl,0.9872812373813138,0.0995009992751029,0.04498575318150992,inf,0.7992579203908176,1.2385261322192789,0.2911966500241585,inf
51730.pkl,0.9781401614403595,0.054222229313203606,0.023762596473517104,inf,0.6576980651693716,0.8230550116868521,0.14844580447737157,inf
51747.pkl,0.7023545780986921,0.18389741330936293,0.08600916258234848,inf,0.4038533620581835,0.7644944285982118,0.15133515864068287,inf
51765.pkl,0.9738850625426292,0.05169529992289299,0.01775746731766492,inf,0.8414310999463951,0.6079842416857417,0.08504429054598163,inf
51777.pkl,0.9884373442814453,0.03914112512255027,0.015026550664759783,inf,0.7176038667851007,0.8958706097894584,0.09559278350515463,inf
51804.pkl,0.8006295470962913,0.2598284423411521,0.12171039873123887,inf,0.4595846502624519,1.40423482759506,0.3667944587628866,inf
51810.pkl,0.7976973346788615,0.24774416404527685,0.14343292448607178,inf,0.4132997910759374,1.4554423774552006,0.3182605894669029,inf
51811.pkl,0.9702039503126598,0.08154172134784311,0.03009310453881219,inf,0.6409644981774736,1.187127853207687,0.19148655177967466,inf
51818.pkl,0.9447960725371519,0.11655403241630395,0.03867828243644509,inf,0.7588449431544979,0.9157337341517042,0.15147044612659044,inf
51828.pkl,0.9093209228021896,0.09397978637667048,0.04897018317894455,inf,0.6311696942705973,0.7819378696661509,0.14171364148816232,inf
51839.pkl,0.8933201307394691,0.15075698663221168,0.03836516401147036,inf,0.5149513224968558,1.1606234267001725,0.1404638428088259,inf
51855.pkl,0.9594117972627282,0.04274561214829877,0.010654637012387454,inf,0.5181903411377667,0.6843665756895805,0.06725398614913836,inf
51886.pkl,0.8467409341273432,0.14297743591989628,0.07539428652439842,inf,0.38552500959518293,0.9339407004509241,0.1900257731958763,inf
51931.pkl,0.9561219570709139,0.11594622208281576,0.02515061890533002,inf,0.7635012961373527,0.9320540857758217,0.12902882911902078,inf
52101.pkl,0.9494880095406203,0.24894496893863508,0.15201518208321518,inf,0.7735758077835898,1.8221642156327418,0.5457432758898373,inf
52112.pkl,0.4979228770635545,0.40253653306442827,0.20093625373768345,inf,0.3969112476374846,1.066843414920886,0.2502915123208246,inf
52118.pkl,0.8996970564935693,0.19193796543553832,0.0957195633907994,inf,0.6943090953278157,1.1818852848487946,0.2899726203897568,inf
52203.pkl,0.9565471291054709,0.06368344247767646,0.02612913352215191,inf,0.6308386032847876,0.7951975356044192,0.13863101948784023,inf
52267.pkl,0.9578967690453851,0.05309775536285696,0.01306834884491431,inf,0.7514192763291074,0.5749134291621025,0.08399806701030929,inf
52313.pkl,0.7493905621714195,0.2733297958179933,0.09199691326289508,inf,0.5189199696703622,1.4758565270118238,0.20296988242873248,inf
52323.pkl,0.9598547351769348,0.07937419236003923,0.041812400228908767,inf,0.7695541726084391,0.7149560262729071,0.15754549846996296,inf
52418.pkl,0.9747598816682796,0.0519651755946952,0.01542609798832399,inf,0.7020637153577473,0.7708286477056436,0.10691365979381444,inf
52424.pkl,0.9800731450026158,0.04984407426834221,0.013417188046890986,inf,0.6680038430004136,0.7840459761924073,0.11691365979381442,inf
52436.pkl,0.988227517973999,0.059758317460075115,0.028776284521966,inf,0.8423885561565297,0.8915664426443407,0.17771262886597936,inf
52446.pkl,0.9921207926793566,0.03622547911845558,0.019772709640029532,inf,0.6866752210857014,0.884168605929514,0.15360180412371136,inf
52447.pkl,0.9934559187290155,0.03401833206278134,0.01930712021553152,inf,0.7603647932371631,0.8050308151878796,0.1705992268041237,inf
52495.pkl,0.9240187120643724,0.24945455100817374,0.134282782300907,inf,0.6518784051120623,1.7053696465702968,0.4174967783505154,inf
52533.pkl,0.9496655238232945,0.11778204649314421,0.06542989850741927,inf,0.6350471493844733,1.1095319885848385,0.26721211145111934,inf
52546.pkl,0.9792277612142506,0.08210507026313717,0.04317057701834906,inf,0.65912244648464,1.1883361853255852,0.29245289096472865,inf
52576.pkl,0.959386861038868,0.14718593321726373,0.05205849013687788,inf,0.5946096334339028,1.6903331505338866,0.3579188144329897,inf
52602.pkl,0.928796663992752,0.05289017651683055,0.0334363794090124,inf,0.7387512947506724,0.3548979923264149,0.07073280721533258,inf
52633.pkl,0.9985829533665663,0.0680837044268335,0.04302098165925621,inf,0.6333757676552326,2.4456330479355723,0.7401932989690723,inf
52645.pkl,0.9993808697240802,0.05086631925241032,0.029236371931049037,inf,0.7510761561923672,2.2677248152341734,0.797728737113402,inf
52652.pkl,0.9754780250627652,0.11506653621515664,0.05863441691099874,inf,0.6144121234903059,1.4874905013562476,0.3663971654050572,inf
52657.pkl,0.995960298418674,0.12110088719820718,0.07321710682789985,inf,0.7072371542900326,2.3540321297809927,0.8854123711340205,inf
52661.pkl,0.99444014639745,0.08108107548433784,0.04619120165678433,inf,0.6198174726476151,2.0876626117292925,0.529826030927835,inf
52674.pkl,0.9982428614152183,0.04303237465867774,0.018856623813782086,inf,0.6356742644888147,1.895749439283506,0.5064390401030762,inf
52679.pkl,0.8831522938391778,0.28111189329363306,0.16028578880569658,inf,0.593997562731313,1.712811971882118,0.4931873087453696,inf
52681.pkl,0.9827378403160383,0.08116504771785366,0.027887383429456323,inf,0.6527992865147876,1.4405285039707245,0.2903108391045257,inf
52707.pkl,0.8460598757912537,0.22781967170994602,0.1446157461501471,inf,0.40201639825005625,0.7461835900584223,0.224847801578354,inf
52713.pkl,0.9805159737846091,0.08924449460202882,0.02650317060454141,inf,0.7463207618808028,1.0571017504595963,0.20812822164948452,inf
52737.pkl,0.9761087141902128,0.25172437840808026,0.11026828855383458,inf,0.748170436120206,1.7898571078426473,0.5238176546391752,inf
52754.pkl,0.9927814248800871,0.17167981138884245,0.05245495306020072,inf,0.6350275380590501,2.9444221795879555,0.9393073453608248,inf
52765.pkl,0.9881962265714044,0.28938851230324614,0.1639903744590161,inf,0.6540825517749558,3.080584611139865,1.2501159793814436,inf
52787.pkl,0.9981726019224076,0.08755004610766179,0.05391261999794357,7.608267056299324,0.7487301786637955,2.3149700556404262,0.8175422773393461,inf
52797.pkl,0.9849138611888739,0.1189504358977841,0.07122459050360967,inf,0.5383863038609386,2.3816868550942587,0.521784506361733,inf
52818.pkl,0.7876800730350562,0.32596555865440496,0.17832697031352399,inf,0.3287583162509788,1.0516048829114701,0.3167305524239008,inf
52825.pkl,0.9873466817876534,0.0539611049349123,0.030199204895157913,inf,0.5851060580543828,0.9998682148628035,0.18354324367853117,inf
52833.pkl,0.8964935868364688,0.50105780976027,0.19945582393135233,inf,0.5636134422657264,2.220573611693261,0.7006056701030927,inf
52836.pkl,0.9906380637404671,0.12361117767362363,0.061803569221533634,inf,0.6175015265484992,2.1567884866018168,0.5890900306007408,inf
52842.pkl,0.8617539846730585,0.46424913802897994,0.24191834531365383,inf,0.41394080770090347,2.4928366832549305,0.748353737113402,inf
52856.pkl,0.958635691448997,0.28461700553428126,0.1771337348064921,inf,0.5464299644950528,2.5865698455273916,0.9009760025769045,inf
52866.pkl,0.9862123588317243,0.20485306018849078,0.1232865441319279,inf,0.5394452071315349,3.212353981545942,1.1403929779352553,inf
52868.pkl,0.8844279253603728,0.7943575124565492,0.49709479746663215,inf,0.41533664334980097,2.8044199520604787,1.1486487357062327,inf
