station,cc_month,rmse_month,mae_month,bias_month,cc_daily,rmse_daily,mae_daily,bias_daily
51053.pkl,0.08486707506412276,0.7513828343871626,0.5523242860362536,144.76709451324962,0.019740637046760382,2.865823461657015,1.1830729586084716,inf
51059.pkl,0.16623932031590105,1.1100049692168377,0.8645786855713734,223.70112918295212,0.028441950065213877,3.172637677465586,1.6496617268041238,inf
51060.pkl,0.07556386876804025,0.5733379824258646,0.4329142635919774,inf,0.02905175342336678,2.3500249293627054,0.9381865034627154,inf
51068.pkl,0.24501388305595106,0.4675428375516283,0.33468579701068407,inf,0.02885645271861208,2.073483743974768,0.7979545820583025,inf
51076.pkl,-0.010238023859584609,0.7002661736617405,0.4933723979024312,122.59220364618557,0.006978250427438408,2.7838538331959484,1.105685295538734,inf
51087.pkl,0.035227369103669796,0.9566629105153233,0.7187688312254824,565.5459251034465,0.007912875013072,3.338024776076625,1.5081655661137061,inf
51133.pkl,0.09915026370558176,0.7373159212052747,0.5306953376456256,40.433300323505435,0.0339257752688511,3.1359546597936534,1.3345144145595105,inf
51156.pkl,0.5787301044671181,0.7153202897658983,0.5365731947209733,inf,0.09138350461291665,3.128805429811765,1.142937671122564,inf
51186.pkl,0.1236962646363948,0.6343463586453246,0.4894813668886168,inf,-0.000554951791515198,2.699367826431058,1.1045586340206186,inf
51238.pkl,0.4260697977573037,0.9279928010175221,0.6831460635793064,inf,0.07850987302121172,3.6727244404651804,1.4980995329360607,inf
51241.pkl,0.38986973801204733,0.9260262841104655,0.6779971469492506,142.268139577226,0.057461926519784615,3.410716109194154,1.5864390401030763,inf
51243.pkl,0.49915488895112425,0.5254900809180733,0.37298632986750513,inf,0.057872317000691585,2.264559912939234,0.8569012723465936,inf
51288.pkl,0.23739998852319522,0.5088984350259562,0.3408890130023089,inf,0.006367032608936005,2.3992333934589736,0.8172841494845361,inf
51330.pkl,0.6046446414476658,1.9423659723036397,1.3513510329975524,1016.6027836641537,0.11294935674569405,4.273531353805511,2.2389819587628867,inf
51334.pkl,0.34795629181058946,0.9722064892225103,0.6951086628570597,inf,0.06616541148812763,2.967101788994138,1.155113544854244,inf
51346.pkl,0.2844584834877436,1.6878183759160483,1.2796277973555013,inf,0.06860377080771451,4.606753153078865,1.9860180412371136,inf
51358.pkl,0.2983957341733196,0.6332610837727481,0.49114689108865645,inf,0.03353668617818975,3.0288419731728506,1.2864690721649483,inf
51365.pkl,0.27160776035298534,0.4630271109799608,0.3473835631768465,330.18198038530085,0.00896296534760151,2.337992670942628,0.9132248711340206,inf
51367.pkl,0.2686980816941841,0.6322006617728658,0.4704031894552408,inf,0.014665429803899841,2.8895098533807886,1.191270736028346,inf
51379.pkl,0.23113191789973436,0.47675795025759005,0.35581444887929226,inf,0.001986115739446646,2.7344048783345514,0.973695231958763,inf
51431.pkl,0.0477826494235617,0.8278484044137421,0.6092928702812235,92.25956857357063,-0.0017228631662424788,3.7260018198943046,1.592396907216495,inf
51433.pkl,0.34695204068708413,1.0032340044674128,0.7401321704061675,76.71963675220287,0.036834524624204015,4.468366764981558,2.169394329896907,inf
51437.pkl,0.7886111726780977,1.286096395056939,0.9468032576397261,138.43529380803471,0.11155228300688586,4.948064191144929,2.7924774484536083,inf
51463.pkl,0.24932153666764584,0.8965906304442568,0.6720038345334427,inf,0.020631902386398445,4.2476079153539255,1.6918653350515462,inf
51467.pkl,0.6577195609695702,0.7155285868814977,0.5244581086049548,inf,0.08095351757761587,3.2799541501069984,1.2203125000000001,inf
51469.pkl,0.7123055572822024,1.0491093881573077,0.7447180600085789,64.83320359300757,0.11088142174316075,4.275942959693953,2.2343050410694154,inf
51470.pkl,0.6175207792241844,1.4274848007026535,0.8903526184296484,27.69940939263841,0.06171468154767883,6.333849173568872,2.3554839748751815,inf
51477.pkl,0.20979447958088132,0.36780670725755193,0.1962445914591272,inf,0.00824736326772991,1.4916733510975577,0.3005959091641166,inf
51495.pkl,-0.05134226900643296,0.2700905749186003,0.21411630336227935,inf,0.01829787382467603,0.9857808342084884,0.28160438144329897,inf
51526.pkl,0.40065084483427965,0.22949260557455373,0.1567953564443946,inf,0.0447479614633721,1.2257438799638378,0.3122241906909325,inf
51542.pkl,0.8289468174554487,1.126875148268606,0.8446452277611081,488.3073810222566,0.14946292027661998,3.7926888411145168,1.8356418102754066,inf
51567.pkl,0.15711519247087463,0.5442159284181546,0.37980791111401924,inf,0.07360442881138261,2.4470435684313543,0.6048155902721856,inf
51573.pkl,0.02985134402560332,0.17180502650707735,0.12239692094857965,inf,0.02583241297274077,0.6732349434606562,0.16073441778064101,inf
51581.pkl,0.042169078287550135,0.15515514321462975,0.10832466486780103,inf,0.014916374576539701,0.862928513004815,0.17442010309278352,inf
51628.pkl,0.21207893482028486,0.7758843613110499,0.5004882902363764,inf,0.05436556716988225,2.6075929492325103,0.7548558544048961,inf
51633.pkl,0.40352206085416165,0.5149644927336746,0.3580224240233728,inf,0.061233650698850305,2.490632579151308,0.7613724226804124,inf
51639.pkl,0.4222109775307099,0.22997605490192025,0.13578942496538846,inf,0.014418025282294494,1.2419604564909448,0.27677564825253664,inf
51642.pkl,0.1607441909697714,0.3281672561839968,0.19170133144099316,inf,0.008051283495918387,1.490355593076509,0.3401417525773196,inf
51644.pkl,0.2579027830186134,0.3421146045676165,0.2227572627122781,inf,0.014148342788431406,1.5687093117079325,0.4488885309278351,inf
51655.pkl,0.2397077621237061,0.2183670457333438,0.11624003976822468,inf,0.0072975873258260635,1.0661965714004051,0.19722938144329893,inf
51656.pkl,0.06611613157934529,0.34736062453445293,0.19240713434057347,inf,0.0010007238185488906,1.603287711719821,0.29626348848445805,inf
51701.pkl,0.638474100680526,0.8173711946811523,0.6326554040229366,inf,0.14080886206858934,3.0687082035703224,1.550499355670103,inf
51704.pkl,0.23546321837441783,0.5213860241620066,0.3813073388420997,inf,0.019261981527016768,2.397580247928499,0.6912546303752617,inf
51705.pkl,0.5346083238869346,0.5875748891835525,0.41757542356950195,inf,0.07977462598815745,2.895669900275953,1.0079722982766952,inf
51709.pkl,0.1889934482136257,0.5716450594338928,0.4130998845589404,inf,0.031220433671268928,2.221268298862677,0.6748107585762602,inf
51711.pkl,0.6471582966411126,1.1258264805310108,0.7465265288540333,inf,0.1401626648753676,3.9826259679406832,1.6556217783505152,inf
51716.pkl,0.48948374827030516,0.33995702507232073,0.22545329959940966,inf,0.05700648867650233,1.6501635150156058,0.43455219072164947,inf
51720.pkl,0.46262877750821746,0.5245531934138553,0.3448704728461648,inf,0.03475173092196331,2.5230150152690953,0.6947012401352874,inf
51730.pkl,0.40705341158139136,0.2738606423947746,0.15449092595881517,inf,0.02779940963059384,1.2266895586548916,0.29177001127395713,inf
51747.pkl,0.4123322571936631,0.15121117148739843,0.07091472629096134,inf,0.009618394303204662,0.7401905880375834,0.11367369946851344,inf
51765.pkl,-0.057939197046982485,0.24438664390017334,0.12329992267578146,inf,-0.009837835163577013,1.134588484496133,0.15108713158318568,inf
51777.pkl,-0.05875066561958507,0.2990566306622646,0.14967108515634658,inf,-0.0035721649740343407,1.3650229643852037,0.18220038659793814,inf
51804.pkl,0.5552172535094003,1.2319245043453397,0.9012497078920556,inf,0.10264549822413142,2.6735890271473055,1.2371939432989691,inf
51810.pkl,0.3990093024214589,0.38265611396378474,0.2368144577074434,inf,0.010781967957057862,1.8693784036521954,0.4279594137542277,inf
51811.pkl,0.36471021304636064,0.3720075359603582,0.24313159839389964,inf,0.02365625074140611,1.893390271253781,0.40752133999033663,inf
51818.pkl,0.33164337724278237,0.34524950967729845,0.22774424897879064,inf,0.05328886293358313,1.7062337744360392,0.383169592526977,inf
51828.pkl,0.2824353163940502,0.23958882266941892,0.17409828744252615,inf,0.04393627659668689,1.3883665236971998,0.30022547914317926,inf
51839.pkl,0.14418278790170944,0.3159732167474245,0.17392115578155626,inf,0.02060241560587855,1.3478100918925398,0.2672572072797552,inf
51855.pkl,0.15470559800574712,0.15610556256636066,0.08726456099681251,inf,-0.007437657006167643,0.797291679112215,0.12723465936543726,inf
51886.pkl,0.3396096772415782,0.2836385719480625,0.20408054545511195,inf,0.03394292267189945,1.0282416680114903,0.35695876288659795,inf
51931.pkl,0.2260095457093166,0.39619808219248914,0.24457732629573892,inf,0.031656333735270686,1.8574968999843424,0.39568368497342565,inf
52101.pkl,0.5777796212317444,0.846920982859476,0.5804852224538314,inf,0.041181747057897594,4.019579436161712,1.5549041713641487,inf
52112.pkl,0.0060724459387160885,0.15565849622607714,0.10035215235519494,inf,0.0353178369644545,0.8087657941830589,0.14788210661942341,inf
52118.pkl,0.5223421941123053,0.8108150388861386,0.6217149488642325,inf,0.06903038780481525,2.5928637648010913,1.020293122886133,inf
52203.pkl,-0.014905303549473947,0.2687903797830806,0.17590749240000045,inf,0.033887570588036604,1.2938081166635194,0.2742309550652279,inf
52267.pkl,0.19659651067399758,0.19990771612573427,0.11562642873241251,inf,0.020148689572061586,0.9942586473005698,0.17036082474226802,inf
52313.pkl,0.12294737090231295,0.28457910853482327,0.20465190210307335,inf,-0.0010558164662027145,1.3181678329480553,0.3592688033499759,inf
52323.pkl,0.23531520647002646,0.318182003445185,0.2140000638742705,inf,0.0048015547011017855,1.4030188559425907,0.3935738444193912,inf
52418.pkl,0.012332184627770342,0.25298563158849824,0.1506908456745694,inf,0.004627129075003747,1.1691398062669573,0.23373067010309279,inf
52424.pkl,0.14559006931445848,0.25770452243267916,0.14963363172484417,inf,0.008254920367501174,1.176493348021205,0.25289948453608246,inf
52436.pkl,0.03931495369549647,0.4027168358491313,0.23917781090930995,inf,-0.008765795752887419,1.8383177225303227,0.42443621134020615,inf
52446.pkl,0.1045958948364157,0.3024139808054026,0.18811998418203024,inf,-0.005584943443042233,1.3416287800674054,0.3145296391752577,inf
52447.pkl,0.19331821540715544,0.3088649474294823,0.2028651115618661,inf,0.008859311143248394,1.4308891016196958,0.3818137886597938,inf
52495.pkl,0.4733206571123212,0.46515785440559365,0.2707382853029977,inf,0.033012941032343195,2.3020053029800893,0.5382893041237113,inf
52533.pkl,0.25653462322664367,0.44503975880813057,0.3062227781360969,inf,0.018976026194109496,1.9465357560314112,0.6054759220486391,inf
52546.pkl,0.43668843393406087,0.43141094141343733,0.30599046923181583,inf,0.0504519066251279,1.9998707479574764,0.6664197133193751,inf
52576.pkl,0.5846381815159568,0.427771780333385,0.2676372881373536,inf,0.07258726097850984,2.3250270201289913,0.6577319587628866,inf
52602.pkl,0.21344589596504857,0.24787481604196068,0.14140435113607921,inf,0.036002795432439026,0.862587394999439,0.19431470446126586,inf
52633.pkl,0.8386730001511989,0.9668611027571785,0.648292281131956,inf,0.16739270972307008,3.934454721582848,1.7698292525773196,inf
52645.pkl,0.9077337431246894,0.9020819260790087,0.5976925263987687,inf,0.2742088187301809,3.988990567477276,2.0098582474226805,inf
52652.pkl,0.5715929972824616,0.43879179640543214,0.29281594914569464,inf,0.05352963700303507,2.2608133886478954,0.7574488645514575,inf
52657.pkl,0.8971626508562459,1.0393679319999525,0.722545136519569,inf,0.24936281926960327,4.063760312039988,2.0778833762886597,inf
52661.pkl,0.6189677461140373,0.6160195361228528,0.3991284563510239,inf,0.06788164772089626,3.1354862720750565,1.1238240979381442,inf
52674.pkl,0.6290609029114068,0.7831799923419587,0.5134587891515525,inf,0.0928781070534092,3.1768560303226407,1.2801417297471411,inf
52679.pkl,0.5931252824214618,0.531877816427904,0.3319681220652889,inf,0.07668731934335445,2.7303036277716144,0.9079884039297793,inf
52681.pkl,0.5849915497497415,0.4634071448659239,0.30218864668596396,inf,0.050037182295873325,2.4508944400214796,0.7133515864068289,inf
52707.pkl,0.3019318162922178,0.36853019632846623,0.2139689459395179,inf,0.02904432810739647,1.0687556716942879,0.31956836849734255,inf
